"title","author","journal","year"
"Molecular and cellular adaptations in hippocampal parvalbumin neurons mediate behavioral responses to chronic social stress","DL Bhatti, L Medrihan, MX Chen, J Jin, KA McCabe, W Wang, ...","Frontiers in Molecular Neuroscience",2022
"Oscillator circuit with negative resistance margin testing","M Jefremow, R Kho, R Mueller-Eschenbach, J Schaefer, A Voigtlaender, ...","US Patent",2022
"Enterococcus peptidoglycan remodeling promotes checkpoint inhibitor cancer immunotherapy","ME Griffin, J Espinosa, JL Becker, JD Luo, TS Carroll, JK Jha, GR Fanger, ...","Science",2021
"Establishment, maintenance, and recall of inflammatory memory","SB Larsen, CJ Cowley, SM Sajjath, D Barrows, Y Yang, TS Carroll, ...","Cell stem cell",2021
"Creatine-mediated crosstalk between adipocytes and cancer cells regulates obesity-driven breast cancer","OA Maguire, SE Ackerman, SK Szwed, AV Maganti, F Marchildon, ...","Cell metabolism",2021
"FMRP regulates mRNAs encoding distinct functions in the cell body and dendrites of CA1 pyramidal neurons","CR Hale, K Sawicka, K Mora, JJ Fak, JJ Kang, P Cutrim, K Cialowicz, ...","Elife",2021
"Altered temporal sequence of transcriptional regulators in the generation of human cerebellar granule cells","H Behesti, A Kocabas, DE Buchholz, TS Carroll, ME Hatten","Elife",2021
"Therapeutic radiation exposure of the abdomen during childhood induces chronic adipose tissue dysfunction","X Huang, OA Maguire, JM Walker, CS Jiang, TS Carroll, JD Luo, ...","JCI insight",2021
"Argonaute-CLIP delineates versatile, functional RNAi networks in Aedes aegypti, a major vector of human viruses","K Rozen-Gagnon, M Gu, JM Luna, JD Luo, S Yi, S Novack, E Jacobson, ...","Cell Host & Microbe",2021
"profileplyr: Visualization and annotation of read signal over genomic ranges with profileplyr","T Carroll, D Barrows","R package version",2021
"Activity-induced gene expression and long-range enhancer-promoter contacts in cohesin-deficient neurons","L Calderon, FD Weiss, JA Beagan, MS Oliveira, YF Wang, T Carroll, ...","Biorxiv",2021
"Reliance of neuronal gene expression on cohesin scales with chromatin loop length","L Calderon, FD Weiss, JA Beagan, MS Oliveira, Y Wang, T Carroll, ...","",2021
